names,masks
"(410,7585,512,512)","(410,7585,512,512)"
"(410,7790,512,512)","(410,7790,512,512)"
"(410,7995,512,512)","(410,7995,512,512)"
"(410,8200,512,512)","(410,8200,512,512)"
"(410,8405,512,512)","(410,8405,512,512)"
"(410,8610,512,512)","(410,8610,512,512)"
"(410,8815,512,512)","(410,8815,512,512)"
"(410,9020,512,512)","(410,9020,512,512)"
"(410,9225,512,512)","(410,9225,512,512)"
"(410,9430,512,512)","(410,9430,512,512)"
"(410,9635,512,512)","(410,9635,512,512)"
"(410,9840,512,512)","(410,9840,512,512)"
"(410,10045,512,512)","(410,10045,512,512)"
"(410,10250,512,512)","(410,10250,512,512)"
"(410,10455,512,512)","(410,10455,512,512)"
"(615,205,512,512)","(615,205,512,512)"
"(615,410,512,512)","(615,410,512,512)"
"(615,615,512,512)","(615,615,512,512)"
"(615,820,512,512)","(615,820,512,512)"
"(615,1025,512,512)","(615,1025,512,512)"
"(615,1230,512,512)","(615,1230,512,512)"
"(615,1435,512,512)","(615,1435,512,512)"
"(615,1640,512,512)","(615,1640,512,512)"
"(615,1845,512,512)","(615,1845,512,512)"
"(615,2050,512,512)","(615,2050,512,512)"
"(615,2255,512,512)","(615,2255,512,512)"
"(615,2460,512,512)","(615,2460,512,512)"
"(615,2665,512,512)","(615,2665,512,512)"
"(615,2870,512,512)","(615,2870,512,512)"
"(615,3075,512,512)","(615,3075,512,512)"
"(615,3280,512,512)","(615,3280,512,512)"
"(615,3485,512,512)","(615,3485,512,512)"
"(615,3690,512,512)","(615,3690,512,512)"
"(615,3895,512,512)","(615,3895,512,512)"
"(615,4100,512,512)","(615,4100,512,512)"
"(615,4305,512,512)","(615,4305,512,512)"
"(615,4510,512,512)","(615,4510,512,512)"
"(615,4715,512,512)","(615,4715,512,512)"
"(615,4920,512,512)","(615,4920,512,512)"
"(615,5125,512,512)","(615,5125,512,512)"
"(615,5330,512,512)","(615,5330,512,512)"
"(615,5535,512,512)","(615,5535,512,512)"
"(615,5740,512,512)","(615,5740,512,512)"
"(615,5945,512,512)","(615,5945,512,512)"
"(615,6150,512,512)","(615,6150,512,512)"
"(615,6355,512,512)","(615,6355,512,512)"
"(615,6560,512,512)","(615,6560,512,512)"
"(615,6765,512,512)","(615,6765,512,512)"
"(615,6970,512,512)","(615,6970,512,512)"
"(615,7175,512,512)","(615,7175,512,512)"
"(615,7380,512,512)","(615,7380,512,512)"
"(615,7585,512,512)","(615,7585,512,512)"
"(615,7790,512,512)","(615,7790,512,512)"
"(615,7995,512,512)","(615,7995,512,512)"
"(615,8200,512,512)","(615,8200,512,512)"
"(615,8405,512,512)","(615,8405,512,512)"
"(615,8610,512,512)","(615,8610,512,512)"
"(615,8815,512,512)","(615,8815,512,512)"
"(615,9020,512,512)","(615,9020,512,512)"
"(615,9225,512,512)","(615,9225,512,512)"
"(615,9430,512,512)","(615,9430,512,512)"
"(615,9635,512,512)","(615,9635,512,512)"
"(615,9840,512,512)","(615,9840,512,512)"
"(615,10045,512,512)","(615,10045,512,512)"
"(615,10250,512,512)","(615,10250,512,512)"
"(615,10455,512,512)","(615,10455,512,512)"
"(820,205,512,512)","(820,205,512,512)"
"(820,410,512,512)","(820,410,512,512)"
"(820,615,512,512)","(820,615,512,512)"
"(820,820,512,512)","(820,820,512,512)"
"(820,1025,512,512)","(820,1025,512,512)"
"(820,1230,512,512)","(820,1230,512,512)"
"(820,1435,512,512)","(820,1435,512,512)"
"(820,1640,512,512)","(820,1640,512,512)"
"(820,1845,512,512)","(820,1845,512,512)"
"(820,2050,512,512)","(820,2050,512,512)"
"(820,2255,512,512)","(820,2255,512,512)"
"(820,2460,512,512)","(820,2460,512,512)"
"(820,2665,512,512)","(820,2665,512,512)"
"(820,2870,512,512)","(820,2870,512,512)"
"(820,3075,512,512)","(820,3075,512,512)"
"(820,3280,512,512)","(820,3280,512,512)"
"(820,3485,512,512)","(820,3485,512,512)"
"(820,3690,512,512)","(820,3690,512,512)"
"(820,3895,512,512)","(820,3895,512,512)"
"(820,4100,512,512)","(820,4100,512,512)"
"(820,4305,512,512)","(820,4305,512,512)"
"(820,4510,512,512)","(820,4510,512,512)"
"(820,4715,512,512)","(820,4715,512,512)"
"(820,4920,512,512)","(820,4920,512,512)"
"(820,5125,512,512)","(820,5125,512,512)"
"(820,5330,512,512)","(820,5330,512,512)"
"(820,5535,512,512)","(820,5535,512,512)"
"(820,5740,512,512)","(820,5740,512,512)"
"(820,5945,512,512)","(820,5945,512,512)"
"(820,6150,512,512)","(820,6150,512,512)"
"(820,6355,512,512)","(820,6355,512,512)"
"(820,6560,512,512)","(820,6560,512,512)"
"(820,6765,512,512)","(820,6765,512,512)"
"(820,6970,512,512)","(820,6970,512,512)"
"(820,7175,512,512)","(820,7175,512,512)"
"(820,7380,512,512)","(820,7380,512,512)"
"(820,7585,512,512)","(820,7585,512,512)"
"(820,7790,512,512)","(820,7790,512,512)"
"(820,7995,512,512)","(820,7995,512,512)"
"(820,8200,512,512)","(820,8200,512,512)"
"(820,8405,512,512)","(820,8405,512,512)"
"(820,8610,512,512)","(820,8610,512,512)"
"(820,8815,512,512)","(820,8815,512,512)"
"(820,9020,512,512)","(820,9020,512,512)"
"(820,9225,512,512)","(820,9225,512,512)"
"(820,9430,512,512)","(820,9430,512,512)"
"(820,9635,512,512)","(820,9635,512,512)"
"(820,9840,512,512)","(820,9840,512,512)"
"(820,10045,512,512)","(820,10045,512,512)"
"(820,10250,512,512)","(820,10250,512,512)"
"(820,10455,512,512)","(820,10455,512,512)"
"(1025,205,512,512)","(1025,205,512,512)"
"(1025,410,512,512)","(1025,410,512,512)"
"(1025,615,512,512)","(1025,615,512,512)"
"(1025,820,512,512)","(1025,820,512,512)"
"(1025,1025,512,512)","(1025,1025,512,512)"
"(1025,1230,512,512)","(1025,1230,512,512)"
"(1025,1435,512,512)","(1025,1435,512,512)"
"(1025,1640,512,512)","(1025,1640,512,512)"
"(1025,1845,512,512)","(1025,1845,512,512)"
"(1025,2050,512,512)","(1025,2050,512,512)"
"(1025,2255,512,512)","(1025,2255,512,512)"
"(1025,2460,512,512)","(1025,2460,512,512)"
"(1025,2665,512,512)","(1025,2665,512,512)"
"(1025,2870,512,512)","(1025,2870,512,512)"
"(1025,3075,512,512)","(1025,3075,512,512)"
"(1025,3280,512,512)","(1025,3280,512,512)"
"(1025,3485,512,512)","(1025,3485,512,512)"
"(1025,3690,512,512)","(1025,3690,512,512)"
"(1025,3895,512,512)","(1025,3895,512,512)"
"(1025,4100,512,512)","(1025,4100,512,512)"
"(1025,4305,512,512)","(1025,4305,512,512)"
"(1025,4510,512,512)","(1025,4510,512,512)"
"(1025,4715,512,512)","(1025,4715,512,512)"
"(1025,4920,512,512)","(1025,4920,512,512)"
"(1025,5125,512,512)","(1025,5125,512,512)"
"(1025,5330,512,512)","(1025,5330,512,512)"
"(1025,5535,512,512)","(1025,5535,512,512)"
"(1025,5740,512,512)","(1025,5740,512,512)"
"(1025,5945,512,512)","(1025,5945,512,512)"
"(1025,6150,512,512)","(1025,6150,512,512)"
"(1025,6355,512,512)","(1025,6355,512,512)"
"(1025,6560,512,512)","(1025,6560,512,512)"
"(1025,6765,512,512)","(1025,6765,512,512)"
"(1025,6970,512,512)","(1025,6970,512,512)"
"(1025,7175,512,512)","(1025,7175,512,512)"
"(1025,7380,512,512)","(1025,7380,512,512)"
"(1025,7585,512,512)","(1025,7585,512,512)"
"(1025,7790,512,512)","(1025,7790,512,512)"
"(1025,7995,512,512)","(1025,7995,512,512)"
"(1025,8200,512,512)","(1025,8200,512,512)"
"(1025,8405,512,512)","(1025,8405,512,512)"
"(1025,8610,512,512)","(1025,8610,512,512)"
"(1025,8815,512,512)","(1025,8815,512,512)"
"(1025,9020,512,512)","(1025,9020,512,512)"
"(1025,9225,512,512)","(1025,9225,512,512)"
"(1025,9430,512,512)","(1025,9430,512,512)"
"(1025,9635,512,512)","(1025,9635,512,512)"
"(1025,9840,512,512)","(1025,9840,512,512)"
"(1025,10045,512,512)","(1025,10045,512,512)"
"(1025,10250,512,512)","(1025,10250,512,512)"
"(1025,10455,512,512)","(1025,10455,512,512)"
"(1230,205,512,512)","(1230,205,512,512)"
"(1230,410,512,512)","(1230,410,512,512)"
"(1230,615,512,512)","(1230,615,512,512)"
"(1230,820,512,512)","(1230,820,512,512)"
"(1230,1025,512,512)","(1230,1025,512,512)"
"(1230,1230,512,512)","(1230,1230,512,512)"
"(1230,1435,512,512)","(1230,1435,512,512)"
"(1230,1640,512,512)","(1230,1640,512,512)"
"(1230,1845,512,512)","(1230,1845,512,512)"
"(1230,2050,512,512)","(1230,2050,512,512)"
"(1230,2255,512,512)","(1230,2255,512,512)"
"(1230,2460,512,512)","(1230,2460,512,512)"
"(1230,2665,512,512)","(1230,2665,512,512)"
"(1230,2870,512,512)","(1230,2870,512,512)"
"(1230,3075,512,512)","(1230,3075,512,512)"
"(1230,3280,512,512)","(1230,3280,512,512)"
"(1230,3485,512,512)","(1230,3485,512,512)"
"(1230,3690,512,512)","(1230,3690,512,512)"
"(1230,3895,512,512)","(1230,3895,512,512)"
"(1230,4100,512,512)","(1230,4100,512,512)"
"(1230,4305,512,512)","(1230,4305,512,512)"
"(1230,4510,512,512)","(1230,4510,512,512)"
"(1230,4715,512,512)","(1230,4715,512,512)"
"(1230,4920,512,512)","(1230,4920,512,512)"
"(1230,5125,512,512)","(1230,5125,512,512)"
"(1230,5330,512,512)","(1230,5330,512,512)"
"(1230,5535,512,512)","(1230,5535,512,512)"
"(1230,5740,512,512)","(1230,5740,512,512)"
"(1230,5945,512,512)","(1230,5945,512,512)"
"(1230,6150,512,512)","(1230,6150,512,512)"
"(1230,6355,512,512)","(1230,6355,512,512)"
"(1230,6560,512,512)","(1230,6560,512,512)"
"(1230,6765,512,512)","(1230,6765,512,512)"
"(1230,6970,512,512)","(1230,6970,512,512)"
"(1230,7175,512,512)","(1230,7175,512,512)"
"(1230,7380,512,512)","(1230,7380,512,512)"
"(1230,7585,512,512)","(1230,7585,512,512)"
"(1230,7790,512,512)","(1230,7790,512,512)"
"(1230,7995,512,512)","(1230,7995,512,512)"
"(1230,8200,512,512)","(1230,8200,512,512)"
"(1230,8405,512,512)","(1230,8405,512,512)"
"(1230,8610,512,512)","(1230,8610,512,512)"
"(1230,8815,512,512)","(1230,8815,512,512)"
"(1230,9020,512,512)","(1230,9020,512,512)"
"(1230,9225,512,512)","(1230,9225,512,512)"
"(1230,9430,512,512)","(1230,9430,512,512)"
"(1230,9635,512,512)","(1230,9635,512,512)"
"(1230,9840,512,512)","(1230,9840,512,512)"
"(1230,10045,512,512)","(1230,10045,512,512)"
"(1230,10250,512,512)","(1230,10250,512,512)"
"(1230,10455,512,512)","(1230,10455,512,512)"
"(1435,205,512,512)","(1435,205,512,512)"
"(1435,410,512,512)","(1435,410,512,512)"
"(1435,615,512,512)","(1435,615,512,512)"
"(1435,820,512,512)","(1435,820,512,512)"
"(1435,1025,512,512)","(1435,1025,512,512)"
"(1435,1230,512,512)","(1435,1230,512,512)"
"(1435,1435,512,512)","(1435,1435,512,512)"
"(1435,1640,512,512)","(1435,1640,512,512)"
"(1435,1845,512,512)","(1435,1845,512,512)"
"(1435,2050,512,512)","(1435,2050,512,512)"
"(1435,2255,512,512)","(1435,2255,512,512)"
"(1435,2460,512,512)","(1435,2460,512,512)"
"(1435,2665,512,512)","(1435,2665,512,512)"
"(1435,2870,512,512)","(1435,2870,512,512)"
"(1435,3075,512,512)","(1435,3075,512,512)"
"(1435,3280,512,512)","(1435,3280,512,512)"
"(1435,3485,512,512)","(1435,3485,512,512)"
"(1435,3690,512,512)","(1435,3690,512,512)"
"(1435,3895,512,512)","(1435,3895,512,512)"
"(1435,4100,512,512)","(1435,4100,512,512)"
"(1435,4305,512,512)","(1435,4305,512,512)"
"(1435,4510,512,512)","(1435,4510,512,512)"
"(1435,4715,512,512)","(1435,4715,512,512)"
"(1435,4920,512,512)","(1435,4920,512,512)"
"(1435,5125,512,512)","(1435,5125,512,512)"
"(1435,5330,512,512)","(1435,5330,512,512)"
"(1435,5535,512,512)","(1435,5535,512,512)"
"(1435,5740,512,512)","(1435,5740,512,512)"
"(1435,5945,512,512)","(1435,5945,512,512)"
"(1435,6150,512,512)","(1435,6150,512,512)"
"(1435,6355,512,512)","(1435,6355,512,512)"
"(1435,6560,512,512)","(1435,6560,512,512)"
"(1435,6765,512,512)","(1435,6765,512,512)"
"(1435,6970,512,512)","(1435,6970,512,512)"
"(1435,7175,512,512)","(1435,7175,512,512)"
"(1435,7380,512,512)","(1435,7380,512,512)"
"(1435,7585,512,512)","(1435,7585,512,512)"
"(1435,7790,512,512)","(1435,7790,512,512)"
"(1435,7995,512,512)","(1435,7995,512,512)"
"(1435,8200,512,512)","(1435,8200,512,512)"
"(1435,8405,512,512)","(1435,8405,512,512)"
"(1435,8610,512,512)","(1435,8610,512,512)"
"(1435,8815,512,512)","(1435,8815,512,512)"
"(1435,9020,512,512)","(1435,9020,512,512)"
"(1435,9225,512,512)","(1435,9225,512,512)"
"(1435,9430,512,512)","(1435,9430,512,512)"
"(1435,9635,512,512)","(1435,9635,512,512)"
"(1435,9840,512,512)","(1435,9840,512,512)"
"(1435,10045,512,512)","(1435,10045,512,512)"
"(1435,10250,512,512)","(1435,10250,512,512)"
"(1435,10455,512,512)","(1435,10455,512,512)"
"(1640,205,512,512)","(1640,205,512,512)"
"(1640,410,512,512)","(1640,410,512,512)"
"(1640,615,512,512)","(1640,615,512,512)"
"(1640,820,512,512)","(1640,820,512,512)"
"(1640,1025,512,512)","(1640,1025,512,512)"
"(1640,1230,512,512)","(1640,1230,512,512)"
"(1640,1435,512,512)","(1640,1435,512,512)"
"(1640,1640,512,512)","(1640,1640,512,512)"
"(1640,1845,512,512)","(1640,1845,512,512)"
"(1640,2050,512,512)","(1640,2050,512,512)"
"(1640,2255,512,512)","(1640,2255,512,512)"
"(1640,2460,512,512)","(1640,2460,512,512)"
"(1640,2665,512,512)","(1640,2665,512,512)"
"(1640,2870,512,512)","(1640,2870,512,512)"
"(1640,3075,512,512)","(1640,3075,512,512)"
"(1640,3280,512,512)","(1640,3280,512,512)"
"(1640,3485,512,512)","(1640,3485,512,512)"
"(1640,3690,512,512)","(1640,3690,512,512)"
"(1640,3895,512,512)","(1640,3895,512,512)"
"(1640,4100,512,512)","(1640,4100,512,512)"
"(1640,4305,512,512)","(1640,4305,512,512)"
"(1640,4510,512,512)","(1640,4510,512,512)"
"(1640,4715,512,512)","(1640,4715,512,512)"
"(1640,4920,512,512)","(1640,4920,512,512)"
"(1640,5125,512,512)","(1640,5125,512,512)"
"(1640,5330,512,512)","(1640,5330,512,512)"
"(1640,5535,512,512)","(1640,5535,512,512)"
"(1640,5740,512,512)","(1640,5740,512,512)"
"(1640,5945,512,512)","(1640,5945,512,512)"
"(1640,6150,512,512)","(1640,6150,512,512)"
"(1640,6355,512,512)","(1640,6355,512,512)"
"(1640,6560,512,512)","(1640,6560,512,512)"
"(1640,6765,512,512)","(1640,6765,512,512)"
"(1640,6970,512,512)","(1640,6970,512,512)"
"(1640,7175,512,512)","(1640,7175,512,512)"
"(1640,7380,512,512)","(1640,7380,512,512)"
"(1640,7585,512,512)","(1640,7585,512,512)"
"(1640,7790,512,512)","(1640,7790,512,512)"
"(1640,7995,512,512)","(1640,7995,512,512)"
"(1640,8200,512,512)","(1640,8200,512,512)"
"(1640,8405,512,512)","(1640,8405,512,512)"
"(1640,8610,512,512)","(1640,8610,512,512)"
"(1640,8815,512,512)","(1640,8815,512,512)"
"(1640,9020,512,512)","(1640,9020,512,512)"
"(1640,9225,512,512)","(1640,9225,512,512)"
"(1640,9430,512,512)","(1640,9430,512,512)"
"(1640,9635,512,512)","(1640,9635,512,512)"
"(1640,9840,512,512)","(1640,9840,512,512)"
"(1640,10045,512,512)","(1640,10045,512,512)"
"(1640,10250,512,512)","(1640,10250,512,512)"
"(1640,10455,512,512)","(1640,10455,512,512)"
"(1845,205,512,512)","(1845,205,512,512)"
"(1845,410,512,512)","(1845,410,512,512)"
"(1845,615,512,512)","(1845,615,512,512)"
"(1845,820,512,512)","(1845,820,512,512)"
"(1845,1025,512,512)","(1845,1025,512,512)"
"(1845,1230,512,512)","(1845,1230,512,512)"
"(1845,1435,512,512)","(1845,1435,512,512)"
"(1845,1640,512,512)","(1845,1640,512,512)"
"(1845,1845,512,512)","(1845,1845,512,512)"
"(1845,2050,512,512)","(1845,2050,512,512)"
"(1845,2255,512,512)","(1845,2255,512,512)"
"(1845,2460,512,512)","(1845,2460,512,512)"
"(1845,2665,512,512)","(1845,2665,512,512)"
"(1845,2870,512,512)","(1845,2870,512,512)"
"(1845,3075,512,512)","(1845,3075,512,512)"
"(1845,3280,512,512)","(1845,3280,512,512)"
"(1845,3485,512,512)","(1845,3485,512,512)"
"(1845,3690,512,512)","(1845,3690,512,512)"
"(1845,3895,512,512)","(1845,3895,512,512)"
"(1845,4100,512,512)","(1845,4100,512,512)"
"(1845,4305,512,512)","(1845,4305,512,512)"
"(1845,4510,512,512)","(1845,4510,512,512)"
"(1845,4715,512,512)","(1845,4715,512,512)"
"(1845,4920,512,512)","(1845,4920,512,512)"
"(1845,5125,512,512)","(1845,5125,512,512)"
"(1845,5330,512,512)","(1845,5330,512,512)"
"(1845,5535,512,512)","(1845,5535,512,512)"
"(1845,5740,512,512)","(1845,5740,512,512)"
"(1845,5945,512,512)","(1845,5945,512,512)"
"(1845,6150,512,512)","(1845,6150,512,512)"
"(1845,6355,512,512)","(1845,6355,512,512)"
"(1845,6560,512,512)","(1845,6560,512,512)"
"(1845,6765,512,512)","(1845,6765,512,512)"
"(1845,6970,512,512)","(1845,6970,512,512)"
"(1845,7175,512,512)","(1845,7175,512,512)"
"(1845,7380,512,512)","(1845,7380,512,512)"
"(1845,7585,512,512)","(1845,7585,512,512)"
"(1845,7790,512,512)","(1845,7790,512,512)"
"(1845,7995,512,512)","(1845,7995,512,512)"
"(1845,8200,512,512)","(1845,8200,512,512)"
"(1845,8405,512,512)","(1845,8405,512,512)"
"(1845,8610,512,512)","(1845,8610,512,512)"
"(1845,8815,512,512)","(1845,8815,512,512)"
"(1845,9020,512,512)","(1845,9020,512,512)"
"(1845,9225,512,512)","(1845,9225,512,512)"
"(1845,9430,512,512)","(1845,9430,512,512)"
"(1845,9635,512,512)","(1845,9635,512,512)"
"(1845,9840,512,512)","(1845,9840,512,512)"
"(1845,10045,512,512)","(1845,10045,512,512)"
"(1845,10250,512,512)","(1845,10250,512,512)"
"(1845,10455,512,512)","(1845,10455,512,512)"
"(2050,205,512,512)","(2050,205,512,512)"
"(2050,410,512,512)","(2050,410,512,512)"
"(2050,615,512,512)","(2050,615,512,512)"
"(2050,820,512,512)","(2050,820,512,512)"
"(2050,1025,512,512)","(2050,1025,512,512)"
"(2050,1230,512,512)","(2050,1230,512,512)"
"(2050,1435,512,512)","(2050,1435,512,512)"
"(2050,1640,512,512)","(2050,1640,512,512)"
"(2050,1845,512,512)","(2050,1845,512,512)"
"(2050,2050,512,512)","(2050,2050,512,512)"
"(2050,2255,512,512)","(2050,2255,512,512)"
"(2050,2460,512,512)","(2050,2460,512,512)"
"(2050,2665,512,512)","(2050,2665,512,512)"
"(2050,2870,512,512)","(2050,2870,512,512)"
"(2050,3075,512,512)","(2050,3075,512,512)"
"(2050,3280,512,512)","(2050,3280,512,512)"
"(2050,3485,512,512)","(2050,3485,512,512)"
"(2050,3690,512,512)","(2050,3690,512,512)"
"(2050,3895,512,512)","(2050,3895,512,512)"
"(2050,4100,512,512)","(2050,4100,512,512)"
"(2050,4305,512,512)","(2050,4305,512,512)"
"(2050,4510,512,512)","(2050,4510,512,512)"
"(2050,4715,512,512)","(2050,4715,512,512)"
"(2050,4920,512,512)","(2050,4920,512,512)"
"(2050,5125,512,512)","(2050,5125,512,512)"
"(2050,5330,512,512)","(2050,5330,512,512)"
"(2050,5535,512,512)","(2050,5535,512,512)"
"(2050,5740,512,512)","(2050,5740,512,512)"
"(2050,5945,512,512)","(2050,5945,512,512)"
"(2050,6150,512,512)","(2050,6150,512,512)"
"(2050,6355,512,512)","(2050,6355,512,512)"
"(2050,6560,512,512)","(2050,6560,512,512)"
"(2050,6765,512,512)","(2050,6765,512,512)"
"(2050,6970,512,512)","(2050,6970,512,512)"
"(2050,7175,512,512)","(2050,7175,512,512)"
"(2050,7380,512,512)","(2050,7380,512,512)"
"(2050,7585,512,512)","(2050,7585,512,512)"
"(2050,7790,512,512)","(2050,7790,512,512)"
"(2050,7995,512,512)","(2050,7995,512,512)"
"(2050,8200,512,512)","(2050,8200,512,512)"
"(2050,8405,512,512)","(2050,8405,512,512)"
"(2050,8610,512,512)","(2050,8610,512,512)"
"(2050,8815,512,512)","(2050,8815,512,512)"
"(2050,9020,512,512)","(2050,9020,512,512)"
"(2050,9225,512,512)","(2050,9225,512,512)"
"(2050,9430,512,512)","(2050,9430,512,512)"
"(2050,9635,512,512)","(2050,9635,512,512)"
"(2050,9840,512,512)","(2050,9840,512,512)"
"(2050,10045,512,512)","(2050,10045,512,512)"
"(2050,10250,512,512)","(2050,10250,512,512)"
"(2050,10455,512,512)","(2050,10455,512,512)"
"(2255,205,512,512)","(2255,205,512,512)"
"(2255,410,512,512)","(2255,410,512,512)"
"(2255,615,512,512)","(2255,615,512,512)"
"(2255,820,512,512)","(2255,820,512,512)"
"(2255,1025,512,512)","(2255,1025,512,512)"
"(2255,1230,512,512)","(2255,1230,512,512)"
"(2255,1435,512,512)","(2255,1435,512,512)"
"(2255,1640,512,512)","(2255,1640,512,512)"
"(2255,1845,512,512)","(2255,1845,512,512)"
"(2255,2050,512,512)","(2255,2050,512,512)"
"(2255,2255,512,512)","(2255,2255,512,512)"
"(2255,2460,512,512)","(2255,2460,512,512)"
"(2255,2665,512,512)","(2255,2665,512,512)"
"(2255,2870,512,512)","(2255,2870,512,512)"
"(2255,3075,512,512)","(2255,3075,512,512)"
"(2255,3280,512,512)","(2255,3280,512,512)"
"(2255,3485,512,512)","(2255,3485,512,512)"
"(2255,3690,512,512)","(2255,3690,512,512)"
"(2255,3895,512,512)","(2255,3895,512,512)"
"(2255,4100,512,512)","(2255,4100,512,512)"
"(2255,4305,512,512)","(2255,4305,512,512)"
"(2255,4510,512,512)","(2255,4510,512,512)"
"(2255,4715,512,512)","(2255,4715,512,512)"
"(2255,4920,512,512)","(2255,4920,512,512)"
"(2255,5125,512,512)","(2255,5125,512,512)"
"(2255,5330,512,512)","(2255,5330,512,512)"
"(2255,5535,512,512)","(2255,5535,512,512)"
"(2255,5740,512,512)","(2255,5740,512,512)"
"(2255,5945,512,512)","(2255,5945,512,512)"
"(2255,6150,512,512)","(2255,6150,512,512)"
"(2255,6355,512,512)","(2255,6355,512,512)"
"(2255,6560,512,512)","(2255,6560,512,512)"
"(2255,6765,512,512)","(2255,6765,512,512)"
"(2255,6970,512,512)","(2255,6970,512,512)"
"(2255,7175,512,512)","(2255,7175,512,512)"
"(2255,7380,512,512)","(2255,7380,512,512)"
"(2255,7585,512,512)","(2255,7585,512,512)"
"(2255,7790,512,512)","(2255,7790,512,512)"
"(2255,7995,512,512)","(2255,7995,512,512)"
"(2255,8200,512,512)","(2255,8200,512,512)"
"(2255,8405,512,512)","(2255,8405,512,512)"
"(2255,8610,512,512)","(2255,8610,512,512)"
"(2255,8815,512,512)","(2255,8815,512,512)"
"(2255,9020,512,512)","(2255,9020,512,512)"
"(2255,9225,512,512)","(2255,9225,512,512)"
"(2255,9430,512,512)","(2255,9430,512,512)"
"(2255,9635,512,512)","(2255,9635,512,512)"
"(2255,9840,512,512)","(2255,9840,512,512)"
"(2255,10045,512,512)","(2255,10045,512,512)"
"(2255,10250,512,512)","(2255,10250,512,512)"
"(2255,10455,512,512)","(2255,10455,512,512)"
"(2460,205,512,512)","(2460,205,512,512)"
"(2460,410,512,512)","(2460,410,512,512)"
"(2460,615,512,512)","(2460,615,512,512)"
"(2460,820,512,512)","(2460,820,512,512)"
"(2460,1025,512,512)","(2460,1025,512,512)"
"(2460,1230,512,512)","(2460,1230,512,512)"
"(2460,1435,512,512)","(2460,1435,512,512)"
"(2460,1640,512,512)","(2460,1640,512,512)"
"(2460,1845,512,512)","(2460,1845,512,512)"
"(2460,2050,512,512)","(2460,2050,512,512)"
"(2460,2255,512,512)","(2460,2255,512,512)"
"(2460,2460,512,512)","(2460,2460,512,512)"
"(2460,2665,512,512)","(2460,2665,512,512)"
"(2460,2870,512,512)","(2460,2870,512,512)"
"(2460,3075,512,512)","(2460,3075,512,512)"
"(2460,3280,512,512)","(2460,3280,512,512)"
"(2460,3485,512,512)","(2460,3485,512,512)"
"(2460,3690,512,512)","(2460,3690,512,512)"
"(2460,3895,512,512)","(2460,3895,512,512)"
"(2460,4100,512,512)","(2460,4100,512,512)"
"(2460,4305,512,512)","(2460,4305,512,512)"
"(2460,4510,512,512)","(2460,4510,512,512)"
"(2460,4715,512,512)","(2460,4715,512,512)"
"(2460,4920,512,512)","(2460,4920,512,512)"
"(2460,5125,512,512)","(2460,5125,512,512)"
"(2460,5330,512,512)","(2460,5330,512,512)"
"(2460,5535,512,512)","(2460,5535,512,512)"
"(2460,5740,512,512)","(2460,5740,512,512)"
"(2460,5945,512,512)","(2460,5945,512,512)"
"(2460,6150,512,512)","(2460,6150,512,512)"
"(2460,6355,512,512)","(2460,6355,512,512)"
"(2460,6560,512,512)","(2460,6560,512,512)"
